index,Paper Title,Year,Author,Citation,Publisher,Xref-Year,DOI,Authors,References,Type,Outlet,Abstract,Xref-Title,Xref-DOI
581,CrowbarLimbs: A Fatigue-Reducing VR Typing System,2020,M Abu,0,ACM,2020,10.1145/3388770.3407399,"[{""given"": ""Muhammad"", ""family"": ""Abu Bakar"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Yuan Ze University""}]}, {""given"": ""Hao-Han"", ""family"": ""Hsueh"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Yuan Ze University""}]}, {""given"": ""Yu-Ting"", ""family"": ""Tsai"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Yuan Ze University""}]}, {""given"": ""Elena Carolina"", ""family"": ""Li"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""University of Taipei""}]}]",6,proceedings-article,ACM SIGGRAPH 2020 Posters,,crowbarlimbs a fatigue reducing vr typing system,10.1145/3388770.3407399
582,Cubic keyboard for virtual reality,2018,N Yanagihara,7,ACM,2018,10.1145/3267782.3274687,"[{""given"": ""Naoki"", ""family"": ""Yanagihara"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""University of Tsukuba, Tsukuba, Ibaraki, Japan""}]}, {""given"": ""Buntarou"", ""family"": ""Shizuki"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""University of Tsukuba, Tsukuba, Ibaraki, Japan""}]}]",2,proceedings-article,Proceedings of the Symposium on Spatial User Interaction,,cubic keyboard for virtual reality,10.1145/3267782.3274687
583,Current Status of User Experience of the Keyboard on Smartphones: An Overall Questionnaire Analysis,2021,Y Wang,0,Springer International Publishing,2021,10.1007/978-3-030-90963-5_14,"[{""given"": ""Yincheng"", ""family"": ""Wang"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Tong"", ""family"": ""Lin"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Jingxin"", ""family"": ""Yu"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Lu"", ""family"": ""Wang"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Jibo"", ""family"": ""He"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Luoma"", ""family"": ""Ke"", ""sequence"": ""additional"", ""affiliation"": []}]",37,book-chapter,"HCI International 2021 - Late Breaking Papers: Multimodality, eXtended Reality, and Artificial Intelligence",,current status of user experience of the keyboard on smartphones an overall questionnaire analysis,10.1007/978-3-030-90963-5_14
584,Dealing with Input Mode Confusion During Dual-Language Keyboard Use,2021,P Petsanas,0,Springer International Publishing,2021,10.1007/978-3-030-85610-6_2,"[{""given"": ""Paraskevas"", ""family"": ""Petsanas"", ""sequence"": ""first"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0001-5350-9108"", ""authenticated-orcid"": false, ""given"": ""Christos"", ""family"": ""Sintoris"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0001-5408-1844"", ""authenticated-orcid"": false, ""given"": ""Nikolaos"", ""family"": ""Avouris"", ""sequence"": ""additional"", ""affiliation"": []}]",18,book-chapter,Human-Computer Interaction – INTERACT 2021,,dealing with input mode confusion during dual language keyboard use,10.1007/978-3-030-85610-6_2
585,Decoding surface touch typing from hand-tracking,2020,M Richardson,10,ACM,2020,10.1145/3379337.3415816,"[{""given"": ""Mark"", ""family"": ""Richardson"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Facebook Reality Labs, Redmond, WA, USA""}]}, {""given"": ""Matt"", ""family"": ""Durasoff"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Facebook Reality Labs, Redmond, WA, USA""}]}, {""given"": ""Robert"", ""family"": ""Wang"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Facebook Reality Labs, Redmond, WA, USA""}]}]",29,proceedings-article,Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology,,decoding surface touch typing from hand tracking,10.1145/3379337.3415816
586,Deep Learning Design for Character Recognition with Position-Free Touchscreen-Based Braille Input Method,2020,S Shenbagavadivu,0,i-manager Publications,2020,10.26634/jmt.7.2.18121,"[{""given"": ""S."", ""family"": ""SHENBAGAVADIVU"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""P."", ""family"": ""KIRUTHIKA"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""R."", ""family"": ""KOMALAVALLI"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""K."", ""family"": ""KEERTHIKA"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""R."", ""family"": ""KAVIYA"", ""sequence"": ""additional"", ""affiliation"": []}, {""name"": ""Department of Information Technology, SRM Valliammai Engineering College, Kattankulathur, Tamil Nadu, India."", ""sequence"": ""additional"", ""affiliation"": []}, {""name"": ""Department of Information Technology, SRM Valliammai Engineering College, Kattankulathur, Tamil Nadu, India."", ""sequence"": ""additional"", ""affiliation"": []}, {""name"": ""Department of Information Technology, SRM Valliammai Engineering College, Kattankulathur, Tamil Nadu, India."", ""sequence"": ""additional"", ""affiliation"": []}, {""name"": ""Department of Information Technology, SRM Valliammai Engineering College, Kattankulathur, Tamil Nadu, India."", ""sequence"": ""additional"", ""affiliation"": []}, {""name"": ""Department of Information Technology, SRM Valliammai Engineering College, Kattankulathur, Tamil Nadu, India."", ""sequence"": ""additional"", ""affiliation"": []}]",17,journal-article,i-manager's Journal on Mobile Applications and Technologies,,deep learning design for character recognition with position free touchscreen based braille input method,10.26634/jmt.7.2.18121
587,Deep learning scheme for character prediction with position-free touch screen-based Braille input method,2020,S Shokat,9,Springer Science and Business Media LLC,2020,10.1186/s13673-020-00246-6,"[{""given"": ""Sana"", ""family"": ""Shokat"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Rabia"", ""family"": ""Riaz"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Sanam Shahla"", ""family"": ""Rizvi"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Abdul Majid"", ""family"": ""Abbasi"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Adeel Ahmed"", ""family"": ""Abbasi"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0002-6295-7014"", ""authenticated-orcid"": false, ""given"": ""Se Jin"", ""family"": ""Kwon"", ""sequence"": ""additional"", ""affiliation"": []}]",74,journal-article,Human-centric Computing and Information Sciences,abstractsmart devices are effective in helping people with impairments overcome their disabilities and improve their living standards braille is a popular method used for communication by visually impaired people touch screen smart devices can be used to take braille input and instantaneously convert it into a natural language most of these schemes require location specific input that is difficult for visually impaired users in this study a position free accessible touchscreen based braille input algorithm is designed and implemented for visually impaired people it aims to place the least burden on the user who is only required to tap those dots that are needed for a specific character the user has input english braille grade 1 data a z using a newly designed application a total dataset comprised of 1258 images was collected the classification was performed using deep learning techniques out of which 70 30 was used for training and validation purposes the proposed method was thoroughly evaluated on a dataset collected from visually impaired people using deep learning dl techniques the results obtained from deep learning techniques are compared with classical machine learning techniques like na ve bayes nb decision trees dt svm and knn we divided the multi class into two categories i e category a a m and category b n z the performance was evaluated using sensitivity specificity positive predicted value ppv negative predicted value npv false positive rate fpv total accuracy ta and area under the curve auc googlenet model followed by the sequential model svm dt knn and nb achieved the highest performance the results prove that the proposed braille input method for touch screen devices is more effective and that the deep learning method can predict the user s input with high accuracy ,deep learning scheme for character prediction with position free touch screen based braille input method,10.1186/s13673-020-00246-6
588,Demonstrating TapType for mobile ten-finger text entry anywhere,2022,P Streli,0,ACM,2022,10.1145/3491101.3519900,"[{""given"": ""Paul"", ""family"": ""Streli"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Department of Computer Science, ETH Z\u00fcrich, Switzerland""}]}, {""given"": ""Jiaxi"", ""family"": ""Jiang"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Computer Science, ETH Z\u00fcrich, Switzerland""}]}, {""given"": ""Andreas Rene"", ""family"": ""Fender"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Computer Science, ETH Z\u00fcrich, Switzerland""}]}, {""given"": ""Manuel"", ""family"": ""Meier"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Computer Science, ETH Z\u00fcrich, Switzerland""}]}, {""given"": ""Hugo"", ""family"": ""Romat"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Computer Science, ETH Z\u00fcrich, Switzerland""}]}, {""given"": ""Christian"", ""family"": ""Holz"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Computer Science, ETH Z\u00fcrich, Switzerland""}]}]",6,proceedings-article,CHI Conference on Human Factors in Computing Systems Extended Abstracts,,demonstrating taptype for mobile ten finger text entry anywhere,10.1145/3491101.3519900
589,Depthtext: Leveraging head movements towards the depth dimension for hands-free text entry in mobile virtual reality systems,2019,X Lu,10,IEEE,2019,10.1109/vr.2019.8797901,"[{""given"": ""Xueshi"", ""family"": ""Lu"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Difeng"", ""family"": ""Yu"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Hai-Ning"", ""family"": ""Liang"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Xiyu"", ""family"": ""Feng"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Wenge"", ""family"": ""Xu"", ""sequence"": ""additional"", ""affiliation"": []}]",6,proceedings-article,2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),,depthtext leveraging head movements towards the depth dimension for hands free text entry in mobile virtual reality systems,10.1109/vr.2019.8797901
590,Design and Analysis of Intelligent Text Entry Systems with Function Structure Models and Envelope Analysis,2021,PO Kristensson,1,ACM,2021,10.1145/3411764.3445566,"[{""given"": ""Per Ola"", ""family"": ""Kristensson"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Department of Engineering University of Cambridge, United Kingdom""}]}, {""given"": ""Thomas"", ""family"": ""M\u00fcllners"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Engineering University of Cambridge, United Kingdom""}]}]",31,proceedings-article,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,design and analysis of intelligent text entry systems with function structure models and envelope analysis,10.1145/3411764.3445566
591,Design and evaluation of a time adaptive multimodal virtual keyboard,2019,YK Meena,7,Springer Science and Business Media LLC,2019,10.1007/s12193-019-00293-z,"[{""ORCID"": ""http://orcid.org/0000-0003-3429-8426"", ""authenticated-orcid"": false, ""given"": ""Yogesh Kumar"", ""family"": ""Meena"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Hubert"", ""family"": ""Cecotti"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""KongFatt"", ""family"": ""Wong-Lin"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Girijesh"", ""family"": ""Prasad"", ""sequence"": ""additional"", ""affiliation"": []}]",77,journal-article,Journal on Multimodal User Interfaces,,design and evaluation of a time adaptive multimodal virtual keyboard,10.1007/s12193-019-00293-z
592,Design and Evaluation of Semi-Transparent Keyboards on a Touchscreen Tablet,2018,S Kim,1,ACM,2018,10.1145/3279778.3279801,"[{""given"": ""Sunjun"", ""family"": ""Kim"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Aalto University &amp; Korea Advanced Institute of Science &amp; Technology, Helsinki &amp; Daejeon, Finland""}]}, {""given"": ""Geehyuk"", ""family"": ""Lee"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}]",28,proceedings-article,Proceedings of the 2018 ACM International Conference on Interactive Surfaces and Spaces,,design and evaluation of semi transparent keyboards on a touchscreen tablet,10.1145/3279778.3279801
593,Design and Implementation of a Chorded-Keyboard Mapping for Existing VR Hand Controllers,2021,WJ Norton,0,Springer International Publishing,2021,10.1007/978-3-030-89912-7_34,"[{""given"": ""Wil J."", ""family"": ""Norton"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Philip"", ""family"": ""Pitura"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""David"", ""family"": ""Gerhard"", ""sequence"": ""additional"", ""affiliation"": []}]",24,book-chapter,"Proceedings of the Future Technologies Conference (FTC) 2021, Volume 3",,design and implementation of a chorded keyboard mapping for existing vr hand controllers,10.1007/978-3-030-89912-7_34
594,Design and Testing of Sensors for Text Entry and Mouse Control for Individuals with Neuromuscular Diseases,2018,AMH Abrams,3,ACM,2018,10.1145/3234695.3241012,"[{""given"": ""Anna M. H."", ""family"": ""Abrams"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Technische Universit\u00e4t Darmstadt, Darmstadt, Germany""}]}, {""given"": ""Carl Fridolin"", ""family"": ""Weber"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Technische Universit\u00e4t Darmstadt, Darmstadt, Germany""}]}, {""given"": ""Philipp"", ""family"": ""Beckerle"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Technische Universit\u00e4t Darmstadt, Darmstadt, Germany""}]}]",8,proceedings-article,Proceedings of the 20th International ACM SIGACCESS Conference on Computers and Accessibility,,design and testing of sensors for text entry and mouse control for individuals with neuromuscular diseases,10.1145/3234695.3241012
595,Detecting surface interactions via a wearable microphone to improve augmented reality text entry,2021,R Habibi,2,,,,,,,,,,
596,Development of Vibro-Tactile Braille Display and Keyboard,2019,MOA Aqel,1,IEEE,2019,10.1109/icpet.2019.00013,"[{""given"": ""Mohammad O.A."", ""family"": ""Aqel"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Ahmed"", ""family"": ""Issa"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Ahmad"", ""family"": ""Harb"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Jehad"", ""family"": ""Shehada"", ""sequence"": ""additional"", ""affiliation"": []}]",20,proceedings-article,2019 International Conference on Promising Electronic Technologies (ICPET),,development of vibro tactile braille display and keyboard,10.1109/icpet.2019.00013
597,DiaQwerty: QWERTY variants to better utilize the screen area of a round or square smartwatch,2018,S Kim,4,ACM,2018,10.1145/3279778.3279792,"[{""given"": ""Sunbum"", ""family"": ""Kim"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}, {""given"": ""Sunggeun"", ""family"": ""Ahn"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}, {""given"": ""Geehyuk"", ""family"": ""Lee"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}]",21,proceedings-article,Proceedings of the 2018 ACM International Conference on Interactive Surfaces and Spaces,,diaqwerty,10.1145/3279778.3279792
598,Does emotion influence the use of auto-suggest during smartphone typing?,2019,S Ghosh,4,ACM,2019,10.1145/3301275.3302329,"[{""given"": ""Surjya"", ""family"": ""Ghosh"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""IIT Kharagpur, India""}]}, {""given"": ""Kaustubh"", ""family"": ""Hiware"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""IIT Kharagpur, India""}]}, {""given"": ""Niloy"", ""family"": ""Ganguly"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""IIT Kharagpur, India""}]}, {""given"": ""Bivas"", ""family"": ""Mitra"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""IIT Kharagpur, India""}]}, {""given"": ""Pradipta"", ""family"": ""De"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Georgia Southern University""}]}]",27,proceedings-article,Proceedings of the 24th International Conference on Intelligent User Interfaces,,does emotion influence the use of auto suggest during smartphone typing ,10.1145/3301275.3302329
599,Dual-Cursor: Improving User Performance and Perceived Usability for Cursor-Based Text Entry on TV Using Remote Control,2019,S Luo,0,Oxford University Press (OUP),2019,10.1093/iwc/iwz017,"[{""given"": ""Shijian"", ""family"": ""Luo"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Department of Industrial Design, College of Computer Science and Technology, Zhejiang University, Hangzhou, China""}]}, {""given"": ""Yi"", ""family"": ""Hu"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Industrial Design, College of Computer Science and Technology, Zhejiang University, Hangzhou, China""}]}]",37,journal-article,Interacting with Computers,abstract entering text with a general five key tv remote is a laborious task a strategy for entering text with two interconnected cursors is proposed whereby a secondary cursor is employed to maneuver the main cursor through fast tracks the main cursor is maneuvered in a 2d full size onscreen keyboard space whereas the sub cursor moves among all predictive candidates in a 1d subspace each cursor is operated by a specific interaction method and the movement of either must be mapped from one to the other compared to single cursor methods the combination of the main cursor and the sub cursor operations usually results in fewer manual loadings even when the target character is out of the prediction list range a computer simulation based on a corpus of 57 258 multimedia titles in chinese demonstrated that the keystrokes per character powered by a dual cursor technique could be predicted to be reduced by 38 6 69 9 with very few predictive candidates for various keyboard layouts compared with those of conventional non predictive method the keyboard layout and the number of candidates were further investigated by means of a usability test the results revealed that with only 10 min of practice novice users could achieve a mean text entry speed of 33 3 29 5 and 22 8 characters per minute for qwerty alphabetic square and alphabetic two row layouts respectively which is 31 6 14 3 and 67 6 faster than the corresponding conventional input method and is 12 7 6 9 and 25 0 faster than the current version of popup dialog method the dual cursor can significantly improve perceived usability and offers the potential to be applied to numerous other cursor based text entry contexts research highlights a new interaction strategy for tv input with two interconnected cursors this strategy employs long pressing for jumping around predicted candidates and short pressing for navigating through keyboard keys the number of keystrokes could be predicted to be reduced by 38 6 69 9 when compared with that of the conventional non predictive input method for various keyboard layouts few predicted candidates were required to achieve a substantial decrement of keystrokes the user experiment showed that novice users tv input speed could be substantially increased with dual cursor ,dual cursor improving user performance and perceived usability for cursor based text entry on tv using remote control,10.1093/iwc/iwz017
600,Dwell Time Adaptive Three-Way Text Entry by Gaze,2019,D Li,0,IEEE,2019,10.1109/ccdc.2019.8832924,"[{""given"": ""Dongpo"", ""family"": ""Li"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Libo"", ""family"": ""Zhang"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Wenting"", ""family"": ""Hu"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Huaxiong"", ""family"": ""Li"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Xianzhong"", ""family"": ""Zhou"", ""sequence"": ""additional"", ""affiliation"": []}]",18,proceedings-article,2019 Chinese Control And Decision Conference (CCDC),,dwell time adaptive three way text entry by gaze,10.1109/ccdc.2019.8832924
601,Dynamic Bayesian Adjustment of Dwell Time for Faster Eye Typing,2020,J Pi,1,Institute of Electrical and Electronics Engineers (IEEE),2020,10.1109/tnsre.2020.3016747,"[{""ORCID"": ""http://orcid.org/0000-0002-7474-6409"", ""authenticated-orcid"": false, ""given"": ""Jimin"", ""family"": ""Pi"", ""sequence"": ""first"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0002-9250-653X"", ""authenticated-orcid"": false, ""given"": ""Paul A."", ""family"": ""Koljonen"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0003-0305-5616"", ""authenticated-orcid"": false, ""given"": ""Yong"", ""family"": ""Hu"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0001-9167-7495"", ""authenticated-orcid"": false, ""given"": ""Bertram E."", ""family"": ""Shi"", ""sequence"": ""additional"", ""affiliation"": []}]",34,journal-article,IEEE Transactions on Neural Systems and Rehabilitation Engineering,,dynamic bayesian adjustment of dwell time for faster eye typing,10.1109/tnsre.2020.3016747
602,Dynamic One Hand Chord Keyboard,2021,J Weller,0,,,,,,,,,,
603,Easy swipe keyboard: A touch based on screen text entry method for smartphone,2018,M Ashaduzzaman,1,,,,,,,,,,
604,Echowrite: An acoustic-based finger input system without training,2020,K Wu,13,IEEE,2019,10.1109/icdcs.2019.00082,"[{""given"": ""Yongpan"", ""family"": ""Zou"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Qiang"", ""family"": ""Yang"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Rukhsana"", ""family"": ""Ruby"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Yetong"", ""family"": ""Han"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Sicheng"", ""family"": ""Wu"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Mo"", ""family"": ""Li"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Kaishun"", ""family"": ""Wu"", ""sequence"": ""additional"", ""affiliation"": []}]",32,proceedings-article,2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS),,echowrite an acoustic based finger input system without training,10.1109/icdcs.2019.00082
605,EDITalk: towards designing eyes-free interactions for mobile word processing,2018,D Ghosh,12,ACM,2018,10.1145/3173574.3173977,"[{""given"": ""Debjyoti"", ""family"": ""Ghosh"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""National University of Singapore, Singapore, Singapore""}]}, {""given"": ""Pin Sym"", ""family"": ""Foong"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""National University of Singapore, Singapore, Singapore""}]}, {""given"": ""Shengdong"", ""family"": ""Zhao"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""National University of Singapore, Singapore, Singapore""}]}, {""given"": ""Di"", ""family"": ""Chen"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""National Univeristy of Singapore, Singapore, Singapore""}]}, {""given"": ""Morten"", ""family"": ""Fjeld"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Chalmers University of Technology, Gothenburg, Sweden""}]}]",21,proceedings-article,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,,editalk,10.1145/3173574.3173977
606,EEG-based Communication with a Predictive Text Algorithm,2018,D Omeiza,0,,,,,,,,,,
607,Effect of Contact Points Feedback on Two-Thumb Touch Typing in Virtual Reality,2022,J Son,0,ACM,2022,10.1145/3491101.3519794,"[{""given"": ""Jeongmin"", ""family"": ""Son"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""HCI Lab, School of Computing, Korea Advanced Institute of Science and Technology, Korea, Republic of""}]}, {""given"": ""Sunggeun"", ""family"": ""Ahn"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""HCI Lab, School of Computing, Korea Advanced Institute of Science and Technology, Korea, Republic of""}]}, {""given"": ""Sunbum"", ""family"": ""Kim"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""HCI Lab, School of Computing, Korea Advanced Institute of Science and Technology, Korea, Republic of""}]}, {""given"": ""Geehyuk"", ""family"": ""Lee"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""HCI Lab, School of Computing, Korea Advanced Institute of Science and Technology, Korea, Republic of""}]}]",18,proceedings-article,CHI Conference on Human Factors in Computing Systems Extended Abstracts,,effect of contact points feedback on two thumb touch typing in virtual reality,10.1145/3491101.3519794
608,"Effect of diagnosis, body site and experience on text entry rate of individuals with physical disabilities: a systematic review",2018,HH Koester,7,Informa UK Limited,2017,10.1080/17483107.2017.1369588,"[{""given"": ""Heidi Horstmann"", ""family"": ""Koester"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Koester Performance Research, Ann Arbor, MI, USA;""}]}, {""given"": ""Sajay"", ""family"": ""Arthanat"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Occupational Therapy, University of New Hampshire, Durham, NH, USA""}]}]",54,journal-article,Disability and Rehabilitation: Assistive Technology,,effect of diagnosis body site and experience on text entry rate of individuals with physical disabilities a systematic review,10.1080/17483107.2017.1369588
609,Effect of gestures and smartphone sizes on user experience of text input methods,2022,Y Li,0,Springer Science and Business Media LLC,2022,10.1007/s10209-021-00863-7,"[{""given"": ""Ying"", ""family"": ""Li"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Fangzhou"", ""family"": ""You"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Ming"", ""family"": ""Ji"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Rui Jie"", ""family"": ""Zhang"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Xuqun"", ""family"": ""You"", ""sequence"": ""additional"", ""affiliation"": []}]",89,journal-article,Universal Access in the Information Society,,effect of gestures and smartphone sizes on user experience of text input methods,10.1007/s10209-021-00863-7
610,Effect of Predictive Next-Letter Highlighting and Its Delays on the Bare-Handed Input in Virtual Reality,2021,H Lin,1,Springer International Publishing,2021,10.1007/978-3-030-77932-0_23,"[{""given"": ""Haikun"", ""family"": ""Lin"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Shu"", ""family"": ""Ma"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Zhen"", ""family"": ""Yang"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Chunyan"", ""family"": ""Kang"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Hongting"", ""family"": ""Li"", ""sequence"": ""additional"", ""affiliation"": []}]",25,book-chapter,Engineering Psychology and Cognitive Ergonomics,,effect of predictive next letter highlighting and its delays on the bare handed input in virtual reality,10.1007/978-3-030-77932-0_23
611,Effect of spatial enhancement technology on input through the keyboard in virtual reality environment,2019,Z Yang,12,Elsevier BV,2019,10.1016/j.apergo.2019.03.006,"[{""given"": ""Zhen"", ""family"": ""Yang"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Cheng"", ""family"": ""Chen"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Yuqing"", ""family"": ""Lin"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Duming"", ""family"": ""Wang"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0002-1015-5634"", ""authenticated-orcid"": false, ""given"": ""Hongting"", ""family"": ""Li"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Weidan"", ""family"": ""Xu"", ""sequence"": ""additional"", ""affiliation"": []}]",40,journal-article,Applied Ergonomics,,effect of spatial enhancement technology on input through the keyboard in virtual reality environment,10.1016/j.apergo.2019.03.006
612,Effectiveness of deep neural network model in typing-based emotion detection on smartphones,2018,S Ghosh,4,ACM,2018,10.1145/3241539.3267761,"[{""given"": ""Surjya"", ""family"": ""Ghosh"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""IIT Kharagpur, Kharagpur, India""}]}, {""given"": ""Niloy"", ""family"": ""Ganguly"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""IIT Kharagpur, Kharagpur, India""}]}, {""given"": ""Bivas"", ""family"": ""Mitra"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""IIT Kharagpur, Kharagpur, India""}]}, {""given"": ""Pradipta"", ""family"": ""De"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Georgia Southern University, Statesboro, GA, USA""}]}]",6,proceedings-article,Proceedings of the 24th Annual International Conference on Mobile Computing and Networking,,effectiveness of deep neural network model in typing based emotion detection on smartphones,10.1145/3241539.3267761
